City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
603,Bermeo,ES,61.0,few clouds,43.42,-2.72,Eco-Hotel Mundaka
606,Saraland,US,82.99,overcast clouds,30.82,-88.07,Microtel Inn & Suites by Wyndham Saraland/North Mobile
609,Ribeirao Branco,BR,71.62,light rain,-24.22,-48.77,Restaurante Hotel Andorinhas
610,Aden,YE,79.59,clear sky,12.78,45.04,Sama Emirate Hotel
611,Ewa Beach,US,82.4,scattered clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
612,Hervey Bay,AU,64.0,clear sky,-25.3,152.85,Shelly Bay Resort
616,Baturaja,ID,73.72,broken clouds,-4.13,104.17,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
617,Isangel,VU,75.67,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
618,Marsh Harbour,BS,80.64,overcast clouds,26.54,-77.06,Abaco Beach Resort
619,Kaura Namoda,NG,77.74,overcast clouds,12.59,6.58,Moonlight Hotel
625,Rabo De Peixe,PT,64.4,scattered clouds,37.8,-25.58,Quinta das Giestas
627,Ponta Delgada,PT,64.4,scattered clouds,37.73,-25.67,Vila Nova Hotel
629,Bajil,YE,81.64,clear sky,15.06,43.29,فندق الصقر السياحي
631,Yulara,AU,77.0,overcast clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
632,Constitucion,CL,65.91,clear sky,-35.33,-72.42,Hotel Boutique Las Azucenas
633,Soure,BR,83.61,overcast clouds,-0.72,-48.52,Hotel Marajó
638,Ocampo,MX,75.38,clear sky,21.65,-101.5,Hotel Estancia del Vaquero
639,Amberley,US,79.0,clear sky,39.2,-84.43,"Motel 6 Cincinnati, OH - Central - Norwood"
640,Panaba,MX,81.39,light rain,21.28,-88.27,Hotel Amor
641,Biak,ID,76.68,overcast clouds,-0.91,122.88,Kost Ariz
646,Jiazi,CN,67.48,overcast clouds,22.88,116.07,Hotel Jin Hao
647,Rio Bananal,BR,81.77,scattered clouds,-19.27,-40.33,Hotel Carolina
650,Cabedelo,BR,82.4,broken clouds,-6.98,-34.83,Lua Mansa Pousada
652,Gat,IL,70.0,clear sky,31.61,34.76,OlusHome
656,Dalaba,GN,63.73,clear sky,10.7,-12.25,Hôtel Tangama
657,Naze,JP,68.0,overcast clouds,28.37,129.48,奄美ポートタワーホテル
660,Pemangkat,ID,77.63,overcast clouds,1.17,108.97,Kost H.Syamsuddin
