City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
230,Batie,BF,2020-11-07 18:20:49,9.88,-2.92,85.03,19,32,1.36
231,Bud,US,2020-11-07 18:20:49,39.45,-86.18,71.01,40,1,6.93
232,Sabha,LY,2020-11-07 18:20:50,27.04,14.43,65.68,39,10,10.0
233,Farafangana,MG,2020-11-07 18:20:50,-22.82,47.83,74.35,84,44,12.62
234,Korcula,HR,2020-11-07 18:20:50,42.96,17.14,50.0,71,0,2.24
235,Marawi,PH,2020-11-07 18:20:50,8.0,124.29,73.0,94,100,7.0
236,Sao Paulo De Olivenca,BR,2020-11-07 18:20:50,-3.38,-68.87,90.09,58,93,1.41
237,Zhezkazgan,KZ,2020-11-07 18:20:51,47.8,67.71,49.89,39,100,16.91
238,Atar,MR,2020-11-07 18:20:51,20.52,-13.05,98.6,35,38,10.22
239,Guatire,VE,2020-11-07 18:20:51,10.48,-66.54,81.0,81,44,3.29
240,Matara,LK,2020-11-07 18:20:51,5.95,80.54,78.28,86,15,5.28
241,Beisfjord,NO,2020-11-07 18:20:51,68.38,17.6,35.6,80,100,16.11
242,Virginia Beach,US,2020-11-07 18:20:42,36.85,-75.98,73.0,66,0,4.36
243,Illela,NG,2020-11-07 18:20:52,13.73,5.3,82.62,15,0,7.27
244,Rio Pardo,BR,2020-11-07 18:20:52,-29.99,-52.38,83.07,48,0,8.05
245,Goderich,CA,2020-11-07 18:16:46,43.75,-81.72,60.8,59,100,16.11
246,Saharsa,IN,2020-11-07 18:20:52,25.88,86.6,69.13,55,0,3.51
247,Portobelo,PA,2020-11-07 18:20:52,9.55,-79.65,86.0,99,50,11.01
248,Bosanski Brod,BA,2020-11-07 18:20:52,45.14,17.99,41.0,100,0,4.38
249,Itarema,BR,2020-11-07 18:20:53,-2.92,-39.92,85.96,60,75,20.33
250,Nacala,MZ,2020-11-07 18:20:53,-14.54,40.67,78.62,79,21,9.57
251,Monrovia,LR,2020-11-07 18:16:05,6.3,-10.8,80.78,84,94,7.45
252,Pistsovo,RU,2020-11-07 18:20:53,57.18,40.53,41.0,80,0,11.18
253,Clarence Town,AU,2020-11-07 18:20:53,-32.58,151.78,61.0,67,90,12.75
254,Luderitz,NA,2020-11-07 18:20:53,-26.65,15.16,63.84,83,3,6.4
255,San Lorenzo,PY,2020-11-07 18:16:09,-25.33,-57.53,98.6,19,0,3.36
256,Kashi,CN,2020-11-07 18:20:54,39.45,75.98,44.6,30,41,11.18
257,Linkuva,LT,2020-11-07 18:20:54,56.09,23.97,46.4,100,90,12.75
258,Zemio,CF,2020-11-07 18:16:58,5.03,25.14,72.09,91,100,2.77
259,Kintampo,GH,2020-11-07 18:20:54,8.06,-1.73,83.62,42,41,2.73
260,Aswan,EG,2020-11-07 18:20:54,24.09,32.91,72.81,37,63,9.69
261,Blagoveshchenka,RU,2020-11-07 18:20:55,52.83,79.87,42.89,61,47,15.68
262,Riyadh,SA,2020-11-07 18:20:55,24.69,46.72,73.4,31,0,4.7
263,Alibag,IN,2020-11-07 18:17:09,18.64,72.88,82.4,58,3,5.06
264,Sioux Lookout,CA,2020-11-07 18:20:55,50.1,-91.92,32.0,83,90,5.82
265,Siniscola,IT,2020-11-07 18:20:55,40.57,9.69,64.4,77,0,2.24
266,Camapua,BR,2020-11-07 18:17:03,-19.53,-54.04,99.25,21,0,6.76
267,Ghanzi,BW,2020-11-07 18:20:55,-21.57,21.78,89.83,12,0,6.53
268,Boditi,ET,2020-11-07 18:20:56,6.97,37.87,62.51,79,94,1.21
269,Nadym,RU,2020-11-07 18:20:56,65.53,72.52,32.52,98,100,3.02
270,Beloha,MG,2020-11-07 18:17:00,-25.17,45.05,71.69,80,0,3.85
271,Atbasar,KZ,2020-11-07 18:20:56,51.8,68.33,43.36,63,100,11.03
272,Villa Del Rosario,CO,2020-11-07 18:20:56,7.83,-72.47,86.0,70,40,11.41
273,Qaqortoq,GL,2020-11-07 18:20:12,60.72,-46.03,30.2,74,75,4.7
274,Naduvattam,IN,2020-11-07 18:20:57,11.48,76.57,53.49,100,82,4.07
275,Gujar Khan,PK,2020-11-07 18:20:57,33.26,73.3,59.0,57,0,2.24
276,Tamandare,BR,2020-11-07 18:20:57,-8.76,-35.1,81.7,74,36,14.16
277,Kharan,PK,2020-11-07 18:20:57,28.58,65.42,59.18,32,0,2.42
278,Hilton Head Island,US,2020-11-07 18:18:06,32.22,-80.75,80.01,78,20,12.75
279,Butembo,CD,2020-11-07 18:20:58,0.15,29.28,60.35,100,77,1.68
280,San Carlos,VE,2020-11-07 18:16:15,9.66,-68.58,86.11,69,52,3.15
281,Cobija,BO,2020-11-07 18:20:58,-11.03,-68.77,93.2,49,71,5.82
282,Kangaatsiaq,GL,2020-11-07 18:20:58,68.31,-53.46,15.66,84,85,7.38
283,Mana,GF,2020-11-07 18:16:36,5.66,-53.78,86.16,71,39,11.61
284,Umm Lajj,SA,2020-11-07 18:20:58,25.02,37.27,75.06,60,0,8.52
285,Shambu,ET,2020-11-07 18:20:59,9.57,37.1,53.46,93,91,1.86
286,San Diego De Los Banos,CU,2020-11-07 18:20:59,22.65,-83.37,79.79,82,90,10.04
287,Areia Branca,BR,2020-11-07 18:20:59,-4.96,-37.14,96.8,39,20,18.34
288,Bandarbeyla,SO,2020-11-07 18:16:23,9.49,50.81,76.98,85,61,14.12
289,Thinadhoo,MV,2020-11-07 18:20:59,0.53,72.93,84.72,67,100,4.36
290,Kumylzhenskaya,RU,2020-11-07 18:20:59,49.88,42.59,44.01,90,82,5.99
291,Artyom,AZ,2020-11-07 18:21:00,40.47,50.33,53.6,87,75,4.7
292,Pauini,BR,2020-11-07 18:16:19,-7.71,-66.98,95.83,37,71,3.09
293,Eyl,SO,2020-11-07 18:19:39,7.98,49.82,78.13,81,8,16.22
294,Roros,NO,2020-11-07 18:21:00,62.57,11.38,35.6,93,88,5.82
295,Piacabucu,BR,2020-11-07 18:19:26,-10.41,-36.43,82.62,73,2,14.63
296,Ciudad Bolivar,VE,2020-11-07 18:21:01,8.12,-63.55,90.23,58,87,2.13
297,Wamba,NG,2020-11-07 18:21:01,8.93,8.6,78.49,45,88,0.72
298,Karlskrona,SE,2020-11-07 18:21:01,56.16,15.59,50.0,93,77,6.93
299,Bengkulu,ID,2020-11-07 18:16:31,-3.8,102.27,77.16,87,100,4.81
300,Feira De Santana,BR,2020-11-07 18:21:01,-12.27,-38.97,87.55,54,76,10.6
301,Comodoro Rivadavia,AR,2020-11-07 18:21:02,-45.87,-67.5,66.2,45,0,14.99
